 Time:12:26.219 N:5923 E:0 F:0 I:0
  TTreeHiDPITest Time:00.211 N:2 E:0 F:0 I:0
  TTreeColumnPaintTest Time:01.487 N:9 E:0 F:0 I:0
  TTreeD1D2Test Time:00.886 N:10 E:0 F:0 I:0
  TTreeD3DragTest Time:00.373 N:4 E:0 F:0 I:0
  TTreeD4AutoSizeTest Time:00.262 N:4 E:0 F:0 I:0
  TTreeE1SortTest Time:00.000 N:8 E:0 F:0 I:0
  TTreeE2SortTreeTest Time:00.000 N:5 E:0 F:0 I:0
  TTreeE3HeaderClickTest Time:00.476 N:5 E:0 F:0 I:0
  TTreeA2CheckPropTest Time:00.000 N:7 E:0 F:0 I:0
  TTreeA3SelectRangeTest Time:00.000 N:5 E:0 F:0 I:0
  TTreeB1OptionsTest Time:00.000 N:7 E:0 F:0 I:0
  TTreeB2CheckPaintTest Time:00.687 N:5 E:0 F:0 I:0
  TTreeB3HitCheckBoxTest Time:00.355 N:4 E:0 F:0 I:0
  TTreeC1CheckBehaviourTest Time:01.455 N:16 E:0 F:0 I:0
  TTreeD1MultiSelectMouseTest Time:00.000 N:11 E:0 F:0 I:0
  TTreeD2MultiSelectKeyboardTest Time:00.000 N:10 E:0 F:0 I:0
  TTreeAdversarialFixTest Time:00.000 N:9 E:0 F:0 I:0
  TTreeGetCellRectTest Time:01.081 N:10 E:0 F:0 I:0
  TTreeB1VariableHeightTest Time:00.925 N:8 E:0 F:0 I:0
  TTreeC1IncSearchTest Time:00.654 N:7 E:0 F:0 I:0
  TTreeNodeImageRenderTest Time:00.125 N:1 E:0 F:0 I:0
  TTreeD1OwnerDrawTest Time:01.530 N:6 E:0 F:0 I:0
  TColumnA1Test Time:00.000 N:11 E:0 F:0 I:0
  TColumnA2Test Time:00.000 N:7 E:0 F:0 I:0
  TColumnA3Test Time:00.000 N:12 E:0 F:0 I:0
  TColumnA4Test Time:00.000 N:10 E:0 F:0 I:0
  TColumnB1Test Time:00.000 N:9 E:0 F:0 I:0
  TColumnB2Test Time:00.000 N:6 E:0 F:0 I:0
  TColumnB3Test Time:00.000 N:4 E:0 F:0 I:0
  TColumnX1Test Time:00.000 N:5 E:0 F:0 I:0
  TColumnX2Test Time:00.000 N:4 E:0 F:0 I:0
  TColumnF3Test Time:00.000 N:3 E:0 F:0 I:0
  TTreeViewStreamingTest Time:00.000 N:1 E:0 F:0 I:0
  TTreeViewItemsTest Time:00.000 N:21 E:0 F:0 I:0
  TTreeEditE1Test Time:00.000 N:1 E:0 F:0 I:0
